[j]2026/02/25 09:46:29 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.272271844, layer transfer time: 0.001528355, total time: 0.27380019899999997, layer compressed size: 625 
[j]2026/02/25 09:46:29 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.402533574, layer transfer time: 6.7872e-05, total time: 0.40260144600000003, layer compressed size: 393 
[j]2026/02/25 09:46:29 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.411528371, layer transfer time: 4.9001e-05, total time: 0.411577372, layer compressed size: 950 
[j]2026/02/25 09:46:29 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.304360509, layer transfer time: 0.115511126, total time: 0.419871635, layer compressed size: 28227259 
[j]2026/02/25 09:46:30 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.439781862, layer transfer time: 0.131598043, total time: 0.571379905, layer compressed size: 43916545 
[j]2026/02/25 09:46:31 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.381510277, layer transfer time: 7.4037e-05, total time: 0.38158431400000004, layer compressed size: 1213 
[j]2026/02/25 09:46:31 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.268741189, layer transfer time: 6.557e-05, total time: 0.268806759, layer compressed size: 625 
[j]2026/02/25 09:46:31 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.402167393, layer transfer time: 5.1245e-05, total time: 0.40221863799999996, layer compressed size: 1410 
[j]2026/02/25 09:46:31 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.275701497, layer transfer time: 0.113456293, total time: 0.38915779, layer compressed size: 28230129 
[j]2026/02/25 09:46:31 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.518713786, layer transfer time: 0.112523169, total time: 0.631236955, layer compressed size: 44151007 
[j]2026/02/25 09:46:32 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.36450755, layer transfer time: 5.3927e-05, total time: 0.364561477, layer compressed size: 1213 
[j]2026/02/25 09:46:32 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.385912326, layer transfer time: 5.6195e-05, total time: 0.385968521, layer compressed size: 950 
[j]2026/02/25 09:46:32 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.21270206, layer transfer time: 0.063125115, total time: 0.275827175, layer compressed size: 29778632 
[j]2026/02/25 09:46:32 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.426073549, layer transfer time: 5.4426e-05, total time: 0.426127975, layer compressed size: 393 
[j]2026/02/25 09:46:32 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.463053531, layer transfer time: 5.6176e-05, total time: 0.46310970700000004, layer compressed size: 1410 
[j]2026/02/25 09:46:33 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.343587631, layer transfer time: 8.9807e-05, total time: 0.343677438, layer compressed size: 1213 
[j]2026/02/25 09:46:33 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.373000932, layer transfer time: 6.6759e-05, total time: 0.37306769100000003, layer compressed size: 951 
[j]2026/02/25 09:46:34 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.16308376, layer transfer time: 0.075094155, total time: 0.238177915, layer compressed size: 33139958 
[j]2026/02/25 09:46:34 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.337464014, layer transfer time: 5.7278e-05, total time: 0.337521292, layer compressed size: 625 
[j]2026/02/25 09:46:34 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.500419658, layer transfer time: 5.3268e-05, total time: 0.500472926, layer compressed size: 393 
[j]2026/02/25 09:46:34 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.906e-06, ssd time: 0, layer transfer time: 5.8569e-05, total time: 6.1475e-05, layer compressed size: 950 
[j]2026/02/25 09:46:35 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.364329504, layer transfer time: 9.7286e-05, total time: 0.36442679, layer compressed size: 1410 
[j]2026/02/25 09:46:35 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.375e-06, ssd time: 0, layer transfer time: 4.8661e-05, total time: 5.2036e-05, layer compressed size: 625 
[j]2026/02/25 09:46:35 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.009917131, layer transfer time: 0.10488463, total time: 0.114801761, layer compressed size: 43916545 
[j]2026/02/25 09:46:35 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.006588471, layer transfer time: 0.079095799, total time: 0.08568426999999999, layer compressed size: 28227259 
[j]2026/02/25 09:46:36 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.824e-06, ssd time: 0, layer transfer time: 4.5017e-05, total time: 4.8841e-05, layer compressed size: 1410 
[j]2026/02/25 09:46:36 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.805e-06, ssd time: 0, layer transfer time: 8.6328e-05, total time: 9.0133e-05, layer compressed size: 1213 
[j]2026/02/25 09:46:36 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.010199857, layer transfer time: 0.117599781, total time: 0.127799638, layer compressed size: 44151007 
[j]2026/02/25 09:46:36 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.83e-06, ssd time: 0, layer transfer time: 5.123e-05, total time: 5.5060000000000005e-05, layer compressed size: 393 
[j]2026/02/25 09:46:36 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.01122199, layer transfer time: 0.074405244, total time: 0.085627234, layer compressed size: 28230129 
[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.667e-06, ssd time: 0, layer transfer time: 4.8019e-05, total time: 5.0686e-05, layer compressed size: 1410 
[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.49e-06, ssd time: 0, layer transfer time: 4.7839e-05, total time: 5.0329e-05, layer compressed size: 393 
[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.106e-06, ssd time: 0, layer transfer time: 7.7716e-05, total time: 8.082199999999999e-05, layer compressed size: 950 
[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.359e-06, ssd time: 0, layer transfer time: 4.2435e-05, total time: 4.4794000000000005e-05, layer compressed size: 625 
[j]2026/02/25 09:46:37 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 4.004e-06, ssd time: 0, layer transfer time: 4.634e-05, total time: 5.0344e-05, layer compressed size: 1213 
[j]2026/02/25 09:46:38 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.888e-06, ssd time: 0, layer transfer time: 4.9829e-05, total time: 5.3717e-05, layer compressed size: 393 
[j]2026/02/25 09:46:38 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.674e-06, ssd time: 0, layer transfer time: 4.6539e-05, total time: 4.9213000000000005e-05, layer compressed size: 625 
[j]2026/02/25 09:46:38 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.927e-06, ssd time: 0, layer transfer time: 4.9031e-05, total time: 5.1958e-05, layer compressed size: 951 
[j]2026/02/25 09:46:39 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.102933933, layer transfer time: 0.148370453, total time: 0.25130438600000005, layer compressed size: 33139958 
