[j]2026/02/12 11:03:39 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000199822, layer transfer time: 5.9086e-05, total time: 0.000258908, layer compressed size: 2299 
[j]2026/02/12 11:03:39 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000244558, layer transfer time: 0.000184141, total time: 0.00042869900000000005, layer compressed size: 1133 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000508164, layer transfer time: 0.000238562, total time: 0.000746726, layer compressed size: 2299 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.00072979, layer transfer time: 9.4482e-05, total time: 0.000824272, layer compressed size: 1133 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000562109, layer transfer time: 6.5533e-05, total time: 0.000627642, layer compressed size: 1133 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000605979, layer transfer time: 6.2317e-05, total time: 0.000668296, layer compressed size: 424 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000519274, layer transfer time: 8.8205e-05, total time: 0.000607479, layer compressed size: 2299 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.045624449, layer transfer time: 0.066134148, total time: 0.111758597, layer compressed size: 27504674 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000415732, layer transfer time: 6.7499e-05, total time: 0.000483231, layer compressed size: 424 
[j]2026/02/12 11:03:40 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.045673616, layer transfer time: 0.090658098, total time: 0.136331714, layer compressed size: 29534634 
[j]2026/02/12 11:03:41 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000458968, layer transfer time: 5.0726e-05, total time: 0.000509694, layer compressed size: 1133 
[j]2026/02/12 11:03:41 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.000427376, layer transfer time: 5.7843e-05, total time: 0.000485219, layer compressed size: 424 
[j]2026/02/12 11:03:41 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5195e-05, layer transfer time: 5.3546e-05, total time: 7.8741e-05, layer compressed size: 424 
